,Article Index,Part,Percentage
627,32170,"GRAND JUNCTION, Colo. (Sports Network) - NBC Sports chairman Dick Ebersol and his son Charlie were released from the hospital Monday, a",60
2750,5942,Gov. Arnold Schwarzenegger on Friday threw,20
685,118019,African Union (AU) mediators at Darfur,20
3054,47700,"Kilkenny, Ireland (Sports Network) - Ernie Els shot a four-under 68 on Saturday to maintain his two-shot lead through three rounds of the World Golf Championships - American Express Championship.",100
660,63650,"Odyssey Healthcare Inc., a hospice care provider,",20
4745,10084,British scientists say they have,20
251,111558,The EU Council of Ministers has today approved plans for Safer Internet Plus -,40
240,85310,"November 08, 2004 - AnandTech have",20
2760,8692,Reuters - Wall Street was expected to rise,20
3067,33836,Microsoft 39;s announcements about Longhorn marked the first concrete launch dates for Longhorn that Microsoft has provided. Industry observers,60
1536,77416,WR Grace amp; Co. said Friday it is the target of a federal grand,40
1690,70246,Why did the Cardinals move up expected Game,20
2873,90241,"For the 19th time in the program's history, the Babson College men's soccer team has advanced to the NCAA Division 3 tournament. Coached by Jon Anderson, a member of Babson's first (of three) national championship team in 1975, the Beavers started with a 4-3-1 record but bounced back",80
652,1772,RealNetworks Goes After iPod With Price War RealNetworks on Tuesday halved the prices for downloaded songs to $0.49 to win customers away from Apple Computer's iPod craze. RealNetworks has recently,60
3524,58697,"Symantec said when someon clicks on an infected link in a message, the worm tries to download code from remote sites, to redirect users to certain Web sites and to send a version of itself to everyone in an IM user 39;s contact list as well.",100
161,71096,James Hardie Industries says it has written to the foundation,40
2275,103833,DAVID BECKHAM and Michael Owen were,20
890,94001,"As part of three-pronged, anti-piracy attack launched",20
4718,71931,Malcolm Glazer will make David Gill sweat before deciding whether he wishes to pursue his takeover plan for Manchester United. The Old Trafford board had been expecting,80
4288,3322,AP - Heavy rains washed out Wednesday night's game between the New York Mets and the Colorado,80
3337,114416,"China and Russia will hold their first joint military exercise next year, the Chinese government said Monday, as President Hu Jintao",60
3624,903,"Chicago Tribune - Pop stars are no strangers to bad behavior. Smashed guitars, ruined hotel rooms--such misdeeds often are chuckled over later, written up in the tabloids, perhaps listed on invoices for damage. Not so in Russia, where the public expects its performers to remember that they walk in Tchaikovsky's footsteps.",100
4878,20976,Qantas shares were this morning placed in a trading halt until September 10 at the latest. The airline said it was,80
845,114907,Ten percent of all bird species are,20
75,60469,Israeli air strikes killed five Palestinians,20
4674,57019,and it has caught the government on the hop. Tony Blair will be told this week that a staggering 10 million pensioners could end up in chronic ,100
1577,11430,"PC World - DOJ announces arrests, convictions for",60
2989,101250,"French publisher Infogrames has announced its results for the first half of FY 2005, revealing in the process that the firm has sold off the lucrative Civilisation franchise to an as-yet unknown purchaser.",100
4840,71716,Kabul - Afghanistan 39;s vote,20
4336,92766,AFP - China and other emerging market countries offer new markets for,40
3004,77303,"The news is not so much shocking as sad. Surely, everyone whose eyes were open suspected that Jason Giambi and Barry Bonds had been using performance-enhancing drugs for many years.",100
4678,81588,One day after it appeared the New York Jets would get Sam Cowart back into the lineup for Sunday 39;s game at,80
1977,84702,"Powered by its SUSE Linux subsidiary, Linux Desktop 9 includes the usual suspects of the Linux desktop, including Mozilla 39;s Firefox Web",60
1570,56968,The high-profile,20
4900,109310,International Olympic Committee (IOC) president Jacques,20
467,91833,"With Oracle 39;s (ORCL:Nasdaq - news - research) $24-a-share offer for PeopleSoft (PSFT:Nasdaq - news - research) set to expire late Friday night,",60
1521,17959,"UNITED NATIONS -- Despite peace deals, Sudan's Darfur region is lapsing into",40
408,9530,"Indian software and services giant Tata Consultancy Services (TCS) made its stock market debut today, jumping 16 per cent over the day as",80
383,43737,"Hindi version of Windows XP costs just $36, as the software giant aims for gains",80
1244,66188,"Constellation Brands, Inc. (CBR), today advised that it is to make a  $1.3 billion bid for US listed Wine maker The Robert Mondavi Corporation.",100
132,17706,"Computer, chip maker will license much of the technology behind their compact servers --",60
3927,54004,Park was 4 under after just six holes in the LPGA 39;s final full-field event of the year. She was even sharper during,60
4650,14494,$300,20
4089,114827,A late equaliser from Pape Bouba Diop gave Fulham a 1-1 draw at home to Manchester United on Monday and prevented Alex Ferguson 39;s team from moving back into to the thick of the Premier League title race.,100
4297,47194,New Zealand Reserve Bank Governor Alan Bollard doesn 39;t favor a single regulator to supervise banks in Australia and,60
914,64046," NEW YORK (Reuters) - The two top U.S. toymakers posted  disappointing third-quarter results on Monday and softened  expectations for the crucial holiday season, citing a wobbly  economy and cautious retailers.",100
899,15325,Microsoft is now aiming at a market that Apple Computer pioneered more than a year ago with its iTunes online music store.,100
879,88189,"As announced earlier, Microsoft today released the second beta of their upcoming Search Engine, which would replace the current version running on MSN website.",100
3656,30195,LOS ANGELES -- A report on Thursday revealed new information,40
3809,66181,"Defense conglomerate General Dynamics Corp. said Wednesday that earnings rose 23 percent in the third quarter to  $322 million, thanks to strong results across all its divisions.",100
3092,24173,The Vancouver Canucks re-signed twins Daniel and Henrik Sedin and goaltender Alex Auld on Friday. The,60
3359,83786,"Reuters - British police voiced astonishment on Sunday that so many people survived a high-speed crash of a 300-passenger train that rammed into a car at a rail crossing, killing six people.",100
986,76583,"Shanghai Automotive Industry Corp (SAIC), one of China 39;s biggest vehicle producers, clinched",40
2205,71346,A test rocket which Brazil,20
4655,26918,"IBM (Quote, Chart) is donating software",20
3148,52444,"The U.S. Congress needs to invest more in the U.S. education system and do more to encourage broadband adoption, the chief executive of Cisco said Wednesday.;p;ADVERTISEMENT;/p;;p;;img src=""http://ad.doubleclick.net/ad/idg.us.ifw.general/sbcspotrssfeed;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/;;a href=""http://ad.doubleclick.net/clk;9228975;9651165;a?http://www.infoworld.com/spotlights/sbc/main.html?lpid0103035400730000idlp"";SBC Case Study: Crate Barrel;/a;;br/;What sold them on improving their network? A system",80
2281,104165,"For some 30 years, companies have envisioned arming executives with sets of diverse tools to easily define business objectives and view their ongoing",40
499,39609,Skulls program proved that PDA and Mobile viruses are finally becoming a reality and it is no longer safe to just download anything from the Internet on your mobile handset.,100
2422,101839,Tiffany Jackson scored 9 of her 19 points early in the second half as No. 4 Texas broke open a close game,60
2623,101860,Danvers quarterback Chris Small and senior Ned Grady have been playing football together,80
1657,79969,Manchester United 39;s performance was so bad at Portsmouth on Saturday that Sir Alex Ferguson would give himself a,60
1000,94613,BUENOS AIRES -- Bombs exploded at three banks in the Argentine capital,20
2028,69899,AP - Sylvester Croom's first big win for Mississippi State sent Florida to a new low under coach Ron Zook. Jerious Norwood's 37-yard touchdown run with 32 seconds remaining lifted Mississippi State to,80
4601,1021,"MacCentral - Mac Publishing LLC, the publishers of Macworld magazine on Monday announced Playlist, a",40
3463,26298,NEW YORK (Reuters) - World oil prices shot higher on Monday as companies operating in the Gulf of Mexico braced for,80
2508,68607,"Sports 39; highest court rejected an appeal from a South Korean gymnast on Thursday, ruling that Hamm is the rightful champion in the men",80
3769,46603,"Maverick, the new supercomputer from Sun Microsystems and the University of Texas at Austin, promises speedier data analysis for global weather prediction, emergency response management ",100
2976,37991,It looks like the US billionaires club isn 39;t quite as exclusive as it once was.,40
208,62614,The baseball community expressed concern for the sport after The Chronicle reported that Barry Bonds 39; weight trainer claimed in a secretly recorded conversation that the superstar used an quot;undetectable,80
1830,113186,MOSCOW - Nikolai Zherdev and,20
4559,94400," ANN ARBOR, Mich. (Sports Network) - Dion Harris dropped in  a game-high 24 points in helping to lead the Michigan  Wolverines to a 69-60 victory over the Colorado Buffaloes in  the second round of the Preseason NIT from Crisler Arena.",100
